transformer_id,load,temperature,voltage,current,power,failure
TR-2001,108.5,102.4,195.4,140.2,27.2,1
TR-2002,95.2,94.1,205.1,122.5,24.8,1
TR-2003,88.4,86.2,212.5,12.4,22.5,0
TR-2004,,68.2,224.2,68.4,15.2,0
TR-2005,52.4,,230.1,38.5,8.8,0
TR-2006,45.2,42.1,231.2,30.5,7.0,0
TR-2007,75.4,68.9,224.5,,16.5,0
TR-2008,88.2,85.4,215.1,110.2,23.5,1
TR-2009,30.1,38.5,232.0,20.4,4.7,0
TR-2010,98.4,92.1,208.4,125.8,,1
TR-2011,60.2,52.4,230.5,41.2,9.5,0
TR-2012,105.4,101.2,201.2,138.5,27.8,1
TR-2013,48.2,46.5,229.8,32.4,7.4,0
TR-2014,70.1,64.8,,62.5,14.2,0
TR-2015,85.6,80.1,218.4,98.4,21.5,0
